Index,Name,Emergency,2p0E34+ZeroBias+HLTPhysics,2p0E34+ZeroBias,2p0E34+HLTPhysics,2p0E34,2p0E34_NoAXO,1p8E34,1p8E34+ZeroBias,1p8E34+ZeroBias+HLTPhysics,1p8E34+HLTPhysics,1p8E34_NoAXO,1p6E34,1p4E34,2p0E34_OnlyMuons,2p0E34_NoMuShower
201,L1_SingleLooseIsoEG30er2p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,L1_SingleLooseIsoEG30er1p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,L1_SingleIsoEG24er2p1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,L1_SingleIsoEG26er2p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,L1_SingleIsoEG26er2p1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,L1_SingleIsoEG28er1p3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,L1_SingleIsoEG28er1p3to2p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,L1_SingleIsoEG28er2p5to3p0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,L1_SingleIsoEG28_FWD2p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,L1_SingleIsoEG28er2p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,L1_SingleIsoEG28er2p1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,L1_SingleIsoEG28er1p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,L1_SingleIsoEG30er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
214,L1_SingleIsoEG30er2p1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
215,L1_SingleIsoEG32er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
216,L1_SingleIsoEG32er2p1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
217,L1_SingleIsoEG34er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
218,L1_IsoEG32er2p5_Mt40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,L1_DoubleEG11_er1p2_dR_Max0p6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,L1_DoubleEG15_11_er1p2_dR_Max0p6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
221,L1_DoubleEG16_11_er1p2_dR_Max0p6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
222,L1_DoubleEG17_11_er1p2_dR_Max0p6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
223,L1_DoubleEG15_er1p5_dEta_Max1p5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
224,L1_DoubleEG16_er1p5_dEta_Max1p5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
225,L1_DoubleEG17_er1p5_dEta_Max1p5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
226,L1_DoubleEG_15_10_er2p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,L1_DoubleEG_20_10_er2p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,L1_DoubleEG_22_10_er2p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,L1_DoubleEG_25_12_er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
230,L1_DoubleEG_25_14_er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
231,L1_DoubleEG_27_14_er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
232,L1_DoubleEG_LooseIso22_12_er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
233,L1_DoubleEG_LooseIso25_12_er2p5,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
234,L1_DoubleEG_LooseIso16_LooseIso12_er1p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,L1_DoubleEG_LooseIso18_LooseIso12_er1p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,L1_DoubleEG_LooseIso20_LooseIso12_er1p5,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
237,L1_DoubleEG_LooseIso22_LooseIso12_er1p5,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
238,L1_DoubleEG_LooseIso25_LooseIso12_er1p5,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
239,L1_DoubleLooseIsoEG22er2p1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
240,L1_DoubleLooseIsoEG24er2p1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
241,L1_LooseIsoEG14er2p5_HTT200er,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
242,L1_LooseIsoEG16er2p5_HTT200er,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
248,L1_DoubleEG8er2p5_HTT280er,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,L1_DoubleEG8er2p5_HTT300er,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
250,L1_DoubleEG8er2p5_HTT320er,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
257,L1_LooseIsoEG22er2p1_IsoTau26er2p1_dR_Min0p3,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
258,L1_LooseIsoEG24er2p1_IsoTau27er2p1_dR_Min0p3,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
